更新时间: 2025-12-25 04:31:45（北京时间）

更新时间,#genre#
2025-12-25 04:31:45,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

大湾区,#genre#
陕西卫视,http://183.164.37.18:4022/rtp/238.1.78.88:6576$安徽电信
甘肃卫视,http://183.164.37.18:4022/rtp/238.1.79.36:4400$安徽电信
甘肃卫视,http://113.12.63.115:6666/rtp/239.81.0.207:4056$广西电信
青海卫视,http://183.164.37.18:4022/rtp/238.1.78.102:6688$安徽电信
新疆卫视,http://183.164.37.18:4022/rtp/238.1.78.110:6752$安徽电信
新疆卫视,http://113.12.63.115:6666/rtp/239.81.0.122:4056$广西电信
西藏卫视,http://183.164.37.18:4022/rtp/238.1.78.101:6680$安徽电信
西藏卫视,http://113.12.63.115:6666/rtp/239.81.0.90:4056$广西电信
三沙卫视,http://113.25.107.189:10000/rtp/239.1.1.70:8070$山西电信
三沙卫视,http://183.164.37.18:4022/rtp/238.1.78.27:6144$安徽电信
兵团卫视,http://183.164.37.18:4022/rtp/238.1.78.104:6704$安徽电信
兵团卫视,http://113.12.63.115:6666/rtp/239.81.0.223:4056$广西电信
农林卫视,http://113.25.107.189:10000/rtp/239.1.1.73:8073$山西电信

数字频道,#genre#
CHC动作电影,http://171.83.48.170:1234/rtp/239.69.1.242:11094$湖北电信
CHC动作电影,http://113.12.63.115:6666/rtp/239.81.0.239:4056$广西电信
CHC家庭影院,http://171.83.48.170:1234/rtp/239.69.1.243:11100$湖北电信
CHC家庭影院,http://113.12.63.115:6666/rtp/239.81.0.238:4056$广西电信
CHC影迷电影,http://171.83.48.170:1234/rtp/239.69.1.241:11088$湖北电信
CHC影迷电影,http://113.12.63.115:6666/rtp/239.81.0.240:4056$广西电信
凤凰卫视中文台,http://113.25.107.189:10000/rtp/239.1.1.126:8126$山西电信
凤凰卫视资讯台,http://113.25.107.189:10000/rtp/239.1.1.127:8127$山西电信
求索纪录,http://113.12.63.115:6666/rtp/239.81.0.153:4056$广西电信
金鹰纪实,http://113.25.107.189:10000/rtp/239.1.1.63:8063$山西电信
金鹰纪实,http://183.164.37.18:4022/rtp/238.1.79.9:4184$安徽电信
金鹰纪实,http://171.83.48.170:1234/rtp/239.69.1.109:10292$湖北电信
金鹰纪实,http://113.12.63.115:6666/rtp/239.81.0.91:4056$广西电信
纪实科教,http://113.12.63.115:6666/rtp/239.81.0.195:4056$广西电信
快乐垂钓,http://113.25.107.189:10000/rtp/239.1.1.86:8086$山西电信
快乐垂钓,http://183.164.37.18:4022/rtp/238.1.79.31:4360$安徽电信
快乐垂钓,http://171.83.48.170:1234/rtp/239.69.1.142:10488$湖北电信
茶频道,http://113.25.107.189:10000/rtp/239.1.1.77:8077$山西电信
茶频道,http://183.164.37.18:4022/rtp/238.1.79.30:4352$安徽电信
茶频道,http://171.83.48.170:1234/rtp/239.69.1.144:10500$湖北电信
先锋乒羽,http://113.12.63.115:6666/rtp/239.81.0.236:4056$广西电信
梨园频道,http://171.83.48.170:1234/rtp/239.69.1.33:9838$湖北电信
武术世界,http://171.83.48.170:1234/rtp/239.69.1.47:9922$湖北电信
乐游,http://113.25.107.189:10000/rtp/239.1.1.84:8084$山西电信
乐游,http://183.164.37.18:4022/rtp/238.1.78.151:7080$安徽电信
生活时尚,http://113.25.107.189:10000/rtp/239.1.1.76:8076$山西电信
生活时尚,http://183.164.37.18:4022/rtp/238.1.78.155:7112$安徽电信
都市剧场,http://113.25.107.189:10000/rtp/239.1.1.81:8081$山西电信
都市剧场,http://183.164.37.18:4022/rtp/238.1.78.74:6464$安徽电信
游戏风云,http://113.25.107.189:10000/rtp/239.1.1.83:8083$山西电信
游戏风云,http://183.164.37.18:4022/rtp/238.1.78.81:6520$安徽电信
金色学堂,http://113.25.107.189:10000/rtp/239.1.1.82:8082$山西电信
金色学堂,http://183.164.37.18:4022/rtp/238.1.78.76:6480$安徽电信
动漫秀场,http://113.25.107.189:10000/rtp/239.1.1.80:8080$山西电信
动漫秀场,http://183.164.37.18:4022/rtp/238.1.78.154:7104$安徽电信
新动漫,http://113.12.63.115:6666/rtp/239.81.0.235:4056$广西电信
卡酷少儿,http://183.164.37.18:4022/rtp/238.1.78.97:6648$安徽电信
卡酷少儿,http://171.83.48.170:1234/rtp/239.69.1.193:10800$湖北电信
金鹰卡通,http://183.164.37.18:4022/rtp/238.1.78.100:6672$安徽电信
金鹰卡通,http://171.83.48.170:1234/rtp/239.69.1.248:11130$湖北电信
金鹰卡通,http://113.12.63.115:6666/rtp/239.81.0.148:4056$广西电信
嘉佳卡通,http://113.12.63.115:6666/rtp/239.81.0.64:4056$广西电信
中国天气,http://113.12.63.115:6666/rtp/239.81.0.63:4056$广西电信

